unitid,"instnm","addr","city","stabbr","zip",fips,obereg,"chfnm","chftitle","gentele","fintele","admtele","ein","duns","opeid",opeflag,"webaddr",sector,iclevel,control,affil,hloffer,ugoffer,groffer,fpoffer,hdegoffr,deggrant,pctmin1,pctmin2,pctmin3,pctmin4,hbcu,hospital,medical,tribal,carnegie,locale,openpubl,"act",newid,"deathyr","closedat",cyactive,stat_fa,pseflag,pset4flg,lock_fa,"date_fa",stat_ic,stat_c,prch_c,idx_c,imp_c,lock_sp,stat_sp,stat_ef,prch_ef,idx_ef,imp_ef,pta99_ef,ptacipef,ptb_ef,ptc_ef,ptd_ef,form_f,stat_f,prch_f,idx_f,imp_f,"fybeg","fyend",gpfs,f1gasbcr,f1gasbal,stat_sfa,prch_sfa,idx_sfa,stat_gr,prch_gr,idx_gr,cohrtstu,cohrtyr1,pyaid,cohrtaid,sport1,sport2,sport3,sport4,sport5,transver,longpgm,cohrtmt,cindon,cinson,cotson,cindoff,cinsoff,cotsoff,cindfam,cinsfam,cotsfam,fte,ocrhsi,ocrmsi
101107,"DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE","1708 N MAIN ST","OPP","AL","36467",1,5,"L WAYNE BENNETT","INTERIM PRESIDENT","3344933573233","3344933573238","3344933573260","-1","079115762","00569800",1,"mstc.cc.al.us",4,2,1,1,3,1,2,2,40,1,20,0,0,1,2,2,2,2,40,6,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,2,2,-2,-2,-2,-2,-2,3,2,1,,,,9105,9105,10545,3405,3405,4845,407,0,0
101116,"SOUTH COLLEGE","122 COMMERCE ST","MONTGOMERY","AL","36104",1,5,"VICTOR K BIEBIGHAUSER","PROVOST","3342631013","3342631013","3342631013","630314610","082151614","01303906",1,"www.southcollege.edu",3,1,3,2,5,1,2,2,30,1,74,0,0,0,2,2,2,2,40,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111400",1,1,-2,-2,-2,81,2,2,-2,-2,-2,1,5,1,1,1,3,1,-2,-2,-2,"011999","121999",1,-2,-2,1,-2,-2,1,-2,-2,1,-2,2,2,-2,-2,-2,-2,-2,3,2,1,,,,16263,16263,16263,11313,11313,11313,169,0,1
101125,"DCH REGIONAL MEDICAL CENTER RADIOGRAPHER PROGRAM","809 UNIVERSITY BLVD E","TUSCALOOSA","AL","35401",1,5,"BILL CASSELS","ADMINISTRATOR VICE PRESIDENT","2057596266","-1","2057596266","-1","-1","-2",6,"-1",4,2,1,1,4,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,1,5,-2,-2,-2,"-1","-1",-1,-1,-1,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
101143,"ENTERPRISE STATE JUNIOR COLLEGE","600 PLAZA DR","ENTERPRISE","AL","363301300",1,5,"STAFFORD L THOMPSON","PRESIDENT","33434726230","3343472623214","3343472623234","630504851","556850964","00101500",1,"www.esjc.cc.al.us",4,2,1,1,3,1,2,2,40,1,19,1,3,3,2,2,2,2,40,6,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,0,1,1,2,1,,,,7857,7857,9365,3282,3282,4790,1109,0,0
101161,"JAMES H FAULKNER STATE COMMUNITY COLLEGE","1900 US HWY 31 S","BAY MINETTE","AL","36507",1,5,"GARY BRANCH","PRESIDENT","3345802100","3345802151","3345802111","630501805","081388811","00106000",1,"www.faulkner.cc.al.us",4,2,1,1,3,1,2,2,40,1,11,1,1,1,2,2,2,2,40,4,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,0,1,2,2,1,5967,5967,7215,7812,7812,9060,3612,3612,4860,2050,0,0
101189,"FAULKNER UNIVERSITY","5345 ATLANTA HWY","MONTGOMERY","AL","361093378",1,5,"BILLY D HILYER","PRESIDENT","3342725820","3343867195","3343867200","-1","079109500","00100300",1,"-1",2,1,2,4,7,1,1,1,21,1,36,1,0,1,2,2,2,2,32,2,1,"A",-2,"-2","-2",1,1,1,1,81,"110600",1,1,1,101189,-2,81,2,2,1,101189,-2,1,5,1,1,1,2,1,1,101189,-2,"061999","052000",1,-2,-2,1,1,101189,1,1,101189,1,-2,1,1,0,1,1,0,1,3,2,1,14800,14800,14800,15050,15050,15050,10850,10850,10850,2283,0,0
101198,"FAULKNER UNIVERSITY-BIRMINGHAM","2970 LORNA RD","BIRMINGHAM","AL","352164506",1,5,"JOHN BOWEN","DIRECTOR","2058795588","2058795588","2058795588","-1","146685755","00100301",1,"www.faulkner.edu",5,2,2,4,3,1,2,2,40,1,-2,-2,-2,-2,2,2,-2,2,-3,1,1,"A",-2,"-2","-2",1,1,1,1,81,"111400",1,1,2,101189,-2,81,2,2,2,101189,-2,1,5,1,1,1,-2,1,2,101189,-2,"-2","-2",-2,-2,-2,1,2,101189,1,2,101189,,-2,,,,,,,,,,1,,,,11265,11265,11265,7065,7065,7065,,-2,-2
101213,"FAULKNER UNIVERSITY","420 WYNN DR","HUNTSVILLE","AL","35805",1,5,"BARBARA GAMBLE","DIRECTOR","2568302626","2568302626","2568302626","-1","619842412","00100303",1,"-1",5,2,2,4,3,1,2,2,40,1,-2,-2,-2,-2,2,2,-2,2,-3,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111400",1,1,2,101189,-2,81,2,2,2,101189,-2,1,5,1,1,1,-2,1,2,101189,-2,"-2","-2",-2,-2,-2,1,2,101189,1,2,101189,,-2,,,,,,,,,,1,,,,10580,10580,10580,6380,6380,6380,,-2,-2
101231,"GADSDEN BUSINESS COLLEGE","3225 Rainbow Drive Suite 246","Rainbow City","AL","359065821",1,5,"FRED KERR","PRESIDENT","2564422805","2564422805","2564422805","631150847","078979374","00446200",1,"-1",9,3,3,2,2,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,1,0,"12152000",5,4,-2,-2,1,81,5,4,-2,-2,1,4,-2,5,5,5,3,4,1,101231,2,"-1","-1",-1,-2,-2,5,-2,-2,3,1,101231,,-2,-2,-2,-2,-2,-2,-2,-2,,-2,,,,,,,,,,,162,-2,-2
101240,"GADSDEN STATE COMMUNITY COLLEGE","1001 GEORGE WALLACE DR","GADSDEN","AL","359020227",1,5,"VICTOR FICKER","PRESIDENT","2565498200","2565498266","2565498210","630501425","830976767","00101700",1,"www.gadsdenst.cc.al.us",4,2,1,1,3,1,2,2,40,1,17,1,0,1,1,2,2,2,40,2,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",1,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,1,1,1,2,1,4915,4915,6475,5297,5297,6857,3258,3258,4818,3360,0,0
101268,"GADSDEN BUSINESS COLLEGE-ANNISTON","630 S WILMER AVE","ANNISTON","AL","36201",1,5,"FRED KERR","PRESIDENT","2562377517","2562377517","2562377517","631150847","171651615","00446201",1,"-1",9,3,3,2,2,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,2,1,"A",-2,"-2","-2",1,5,1,1,0,"12152000",5,4,-2,-2,1,0,5,4,-2,-2,1,4,-2,5,5,5,-2,4,2,101231,-2,"-2","-2",-2,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,167,-2,-2
101277,"NEW BEGINNINGS COLLEGE OF COSMETOLOGY","509 BALTIMORE AVE","ALBERTVILLE","AL","35950",1,5,"JOYCE BAIRD","DIRECTOR","2058786430","2058786430","2058786430","-1","-1","-2",6,"-1",9,3,3,2,2,1,2,2,0,2,-1,-1,-1,-1,2,2,-1,2,-3,6,1,"A",-2,"-2","-2",1,5,1,2,0,"12152000",5,5,-2,-2,-2,170,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
101286,"GEORGE C WALLACE STATE COMMUNITY COLLEGE-DOTHAN","RTE 6 BOX 62","DOTHAN","AL","363039234",1,5,"LINDA C YOUNG","PRESIDENT","3349833521455","334687354314285","3349833521280","630507618","128538170","00101800",1,"wcc.cc.al.us",4,2,1,1,3,1,2,2,40,1,25,0,1,1,2,2,-1,2,40,2,1,"A",-2,"-2","-2",1,2,1,1,11,"12152000",1,4,-2,-2,1,81,1,1,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,0,1,1,2,1,,,,,,,,,,2703,0,0
101295,"GEORGE C WALLACE STATE COMMUNITY COLL-HANCEVILLE","801 MAIN ST NW","HANCEVILLE","AL","350772000",1,5,"JAMES BAILEY","PRESIDENT","2563528000","2563528182","2563528128","630498828","039570619","00787100",1,"wallacestatehanceville.edu",4,2,1,1,3,1,2,2,40,1,3,0,0,0,2,2,2,2,40,7,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,5,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,1,1,1,2,1,6803,6803,8163,10434,10434,11794,6753,6753,8113,3272,0,0
101301,"GEORGE C WALLACE STATE COMMUNITY COLLEGE-SELMA","3000 EARL GOODWIN PARKWAY","SELMA","AL","367032808",1,5,"Dr. James M. Mitchell","PRESIDENT","3348769227","3348769296","3348769295","630600375","082152281","00569900",1,"www.wccs.cc.al.us",4,2,1,1,3,1,2,2,40,1,49,0,0,0,2,2,2,2,40,6,1,"A",-2,"-2","-2",1,1,1,1,81,"111100",1,1,-2,-2,-2,81,1,1,-2,-2,-2,1,-2,1,1,1,1,1,-2,-2,-2,"101999","092000",3,1,1,1,-2,-2,1,-2,-2,1,-2,1,1,0,1,1,0,1,1,2,1,,,,6600,6600,8400,3975,3975,5775,1068,0,0
101310,"GOLD DUST FLYING SERVICE","TALLADEGA AIRPORT PO BOX 75","EASTABOGA","AL","36260",1,5,"JEAN WAGNON","CERTIFING OFFICER","2563620895","-1","2563620895","630640521","-1","-2",6,"-1",9,3,3,2,1,1,2,2,0,2,-1,-1,-1,-1,2,2,2,2,-3,9,1,"A",-2,"-2","-2",1,1,1,2,81,"111400",1,1,-2,-2,-2,0,5,5,-2,-2,-2,5,-2,5,5,5,3,5,-2,-2,-2,"-1","-1",-1,-2,-2,5,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2
